date,ticker,trigger_type,shares,exec_price,dollar_amount,commission,reference_at_trigger,cash_after,portfolio_value
2015-01-02,MTB,entry,2,92.4319,184.86,0.18,,,99508.54
2015-01-02,MU,entry,6,34.3863,206.32,0.21,,,99508.54
2015-01-02,NCLH,entry,4,47.2536,189.01,0.19,,,99508.54
2015-01-02,NDAQ,entry,16,13.4157,214.65,0.21,,,99508.54
2015-01-02,NDSN,entry,3,69.1441,207.43,0.21,,,99508.54
2015-01-02,NEE,entry,10,19.8959,198.96,0.2,,,99508.54
2015-01-02,NEM,entry,14,14.5404,203.57,0.2,,,99508.54
2015-01-02,NFLX,entry,44,4.9176,216.37,0.22,,,99508.54
2015-01-02,NI,entry,18,11.6567,209.82,0.21,,,99508.54
2015-01-02,NKE,entry,5,41.7871,208.94,0.21,,,99508.54
2015-01-02,NOC,entry,1,123.5876,123.59,0.12,,,99508.54
2015-01-02,NOW,entry,15,13.5688,203.53,0.2,,,99508.54
2015-01-02,NRG,entry,10,21.0194,210.19,0.21,,,99508.54
2015-01-02,NSC,entry,2,86.1258,172.25,0.17,,,99508.54
2015-01-02,NTAP,entry,6,31.359,188.15,0.19,,,99508.54
2015-01-02,NTRS,entry,4,50.3422,201.37,0.2,,,99508.54
2015-01-02,NUE,entry,5,37.7619,188.81,0.19,,,99508.54
2015-01-02,NVDA,entry,447,0.4832,216.0,0.22,,,99508.54
2015-01-02,NWS,entry,16,13.2899,212.64,0.21,,,99508.54
2015-01-02,NWSA,entry,15,13.842,207.63,0.21,,,99508.54
2015-01-02,NXPI,entry,3,67.7178,203.15,0.2,,,99508.54
2015-01-02,O,entry,7,27.3674,191.57,0.19,,,99508.54
2015-01-02,ODFL,entry,8,24.9519,199.62,0.2,,,99508.54
2015-01-02,OKE,entry,8,24.568,196.54,0.2,,,99508.54
2015-01-02,OMC,entry,4,53.5452,214.18,0.21,,,99508.54
2015-01-02,ON,entry,21,10.1851,213.89,0.21,,,99508.54
2015-01-02,ORCL,entry,5,37.9539,189.77,0.19,,,99508.54
2015-01-02,ORLY,entry,16,12.8638,205.82,0.21,,,99508.54
2015-01-02,OXY,entry,3,57.2092,171.63,0.17,,,99508.54
2015-01-02,PANW,entry,10,20.4435,204.44,0.2,,,99508.54
2015-01-02,PAYX,entry,6,32.4191,194.51,0.19,,,99508.54
2015-01-02,PCAR,entry,7,29.9762,209.83,0.21,,,99508.54
2015-01-02,PCG,entry,4,48.2234,192.89,0.19,,,99508.54
2015-01-02,PEG,entry,7,28.0494,196.35,0.2,,,99508.54
2015-01-02,PEP,entry,3,67.6664,203.0,0.2,,,99508.54
2015-01-02,PFE,entry,11,18.0569,198.63,0.2,,,99508.54
2015-01-02,PFG,entry,6,34.7597,208.56,0.21,,,99508.54
2015-01-02,PG,entry,3,65.8786,197.64,0.2,,,99508.54
2015-01-02,PGR,entry,11,19.4316,213.75,0.21,,,99508.54
2015-01-02,PH,entry,2,107.2724,214.54,0.21,,,99508.54
2015-01-02,PHM,entry,11,18.7667,206.43,0.21,,,99508.54
