date,ticker,trigger_type,shares,exec_price,dollar_amount,commission,reference_at_trigger,cash_after,portfolio_value
2015-01-06,APA,stop_loss,1,45.0446,45.04,0.05,45.1954,12842.0,97307.59
2015-01-06,CAT,stop_loss,1,65.5385,65.54,0.07,65.3835,12907.47,97307.59
2015-01-06,EOG,stop_loss,1,61.685,61.68,0.06,62.3197,12969.09,97307.59
2015-01-06,EQT,stop_loss,1,36.3778,36.38,0.04,36.4705,13005.43,97307.59
2015-01-06,FCX,stop_loss,1,19.4419,19.44,0.02,19.4078,13024.86,97307.59
2015-01-06,FSLR,stop_loss,1,41.989,41.99,0.04,41.83,13066.8,97307.59
2015-01-06,LYB,stop_loss,1,41.7891,41.79,0.04,41.5912,13108.55,97307.59
2015-01-06,NFLX,stop_loss,1,4.7323,4.73,0.0,4.7311,13113.28,97307.59
2015-01-06,OKE,stop_loss,1,23.1466,23.15,0.02,23.1582,13136.4,97307.59
2015-01-06,PSX,stop_loss,1,44.5125,44.51,0.04,44.7059,13180.87,97307.59
2015-01-06,STLD,stop_loss,1,14.7524,14.75,0.01,14.7519,13195.61,97307.59
2015-01-06,TRGP,stop_loss,1,58.2192,58.22,0.06,57.7131,13253.77,97307.59
2015-01-06,URI,stop_loss,1,89.3009,89.3,0.09,88.9599,13342.98,97307.59
2015-01-06,XYL,stop_loss,1,30.9571,30.96,0.03,30.9812,13373.91,97307.59
2015-01-07,ADM,stop_loss,1,35.4628,35.46,0.04,35.145,13409.33,98342.49
2015-01-07,AES,stop_loss,1,8.5194,8.52,0.01,8.4586,13417.85,98342.49
2015-01-07,ALB,stop_loss,1,49.241,49.24,0.05,48.5774,13467.04,98342.49
2015-01-07,AMAT,stop_loss,1,20.3173,20.32,0.02,20.2231,13487.33,98342.49
2015-01-07,AMP,stop_loss,1,98.8969,98.9,0.1,97.892,13586.13,98342.49
2015-01-07,APO,stop_loss,1,13.1175,13.12,0.01,13.024,13599.24,98342.49
2015-01-07,BAC,stop_loss,1,13.5174,13.52,0.01,13.3032,13612.74,98342.49
2015-01-07,BEN,stop_loss,1,31.4966,31.5,0.03,31.5243,13644.21,98342.49
2015-01-07,BKNG,stop_loss,1,42.8093,42.81,0.04,42.4062,13686.97,98342.49
2015-01-07,BLDR,stop_loss,1,6.4868,6.49,0.01,6.4,13693.45,98342.49
2015-01-07,BNY,stop_loss,1,29.1886,29.19,0.03,28.8937,13722.61,98342.49
2015-01-07,C,stop_loss,1,37.967,37.97,0.04,37.3887,13760.54,98342.49
2015-01-07,CHRW,stop_loss,1,53.6357,53.64,0.05,53.5472,13814.12,98342.49
2015-01-07,CHTR,stop_loss,1,157.1414,157.14,0.16,156.31,13971.11,98342.49
2015-01-07,CNP,stop_loss,1,15.2172,15.22,0.02,15.11,13986.31,98342.49
2015-01-07,COP,stop_loss,1,44.1532,44.15,0.04,43.4299,14030.42,98342.49
2015-01-07,CPAY,stop_loss,1,143.2883,143.29,0.14,142.25,14173.56,98342.49
2015-01-07,CRH,stop_loss,1,16.9078,16.91,0.02,16.7747,14190.45,98342.49
2015-01-07,CSX,stop_loss,1,9.4494,9.45,0.01,9.373,14199.89,98342.49
2015-01-07,DVN,stop_loss,1,39.3293,39.33,0.04,38.9493,14239.18,98342.49
2015-01-07,ECL,stop_loss,1,88.2864,88.29,0.09,87.4379,14327.38,98342.49
2015-01-07,ERIE,stop_loss,1,65.4719,65.47,0.07,64.8951,14392.79,98342.49
2015-01-07,ETN,stop_loss,1,49.8821,49.88,0.05,49.204,14442.62,98342.49
2015-01-07,FITB,stop_loss,1,13.0012,13.0,0.01,12.8102,14455.61,98342.49
2015-01-07,GS,stop_loss,1,149.4314,149.43,0.15,147.6498,14604.89,98342.49
2015-01-07,HBAN,stop_loss,1,6.4378,6.44,0.01,6.3704,14611.32,98342.49
2015-01-07,J,stop_loss,1,32.3848,32.38,0.03,32.165,14643.67,98342.49
2015-01-07,JPM,stop_loss,1,44.3268,44.33,0.04,43.6751,14687.96,98342.49
2015-01-07,KEY,stop_loss,1,8.4781,8.48,0.01,8.3858,14696.43,98342.49
2015-01-07,KLAC,stop_loss,1,53.8774,53.88,0.05,53.8317,14750.25,98342.49
2015-01-07,LUV,stop_loss,1,35.8316,35.83,0.04,35.5769,14786.05,98342.49
2015-01-07,LVS,stop_loss,1,39.4545,39.45,0.04,38.5002,14825.46,98342.49
2015-01-07,LYV,stop_loss,1,24.9975,25.0,0.02,24.82,14850.43,98342.49
2015-01-07,MET,stop_loss,1,31.0308,31.03,0.03,30.682,14881.43,98342.49
2015-01-07,MGM,stop_loss,1,19.164,19.16,0.02,18.5691,14900.58,98342.49
2015-01-07,MPWR,stop_loss,1,41.9772,41.98,0.04,41.6458,14942.51,98342.49
2015-01-07,MS,stop_loss,1,27.0858,27.09,0.03,26.7251,14969.57,98342.49
2015-01-07,MTB,stop_loss,1,87.5333,87.53,0.09,86.6929,15057.02,98342.49
2015-01-07,MU,stop_loss,1,30.7354,30.74,0.03,32.0577,15087.72,98342.49
2015-01-07,NRG,stop_loss,1,20.4934,20.49,0.02,20.2938,15108.2,98342.49
2015-01-07,NSC,stop_loss,1,80.5991,80.6,0.08,80.0951,15188.71,98342.49
2015-01-07,NTRS,stop_loss,1,47.3938,47.39,0.05,47.0161,15236.06,98342.49
2015-01-07,NUE,stop_loss,1,35.9617,35.96,0.04,35.6193,15271.99,98342.49
2015-01-07,NXPI,stop_loss,1,64.5398,64.54,0.06,63.9886,15336.46,98342.49
2015-01-07,PH,stop_loss,1,101.991,101.99,0.1,101.0548,15438.35,98342.49
2015-01-07,PNC,stop_loss,1,60.5257,60.53,0.06,59.8235,15498.82,98342.49
2015-01-07,PRU,stop_loss,1,52.851,52.85,0.05,52.3505,15551.61,98342.49
2015-01-07,RF,stop_loss,1,6.7151,6.72,0.01,6.6373,15558.32,98342.49
2015-01-07,RJF,stop_loss,1,30.7335,30.73,0.03,30.5793,15589.02,98342.49
2015-01-07,SCHW,stop_loss,1,24.7221,24.72,0.02,24.4563,15613.72,98342.49
